"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","260","Get file with incorrect file id","LMS service","Sat Nov 08 17:11:39 UTC 2025","passed","Sat Nov 08 17:11:40 UTC 2025","Validate entity","Files","",""
"","16","Get file","LMS service","Sat Nov 08 17:11:37 UTC 2025","passed","Sat Nov 08 17:11:37 UTC 2025","Get entity","Files","",""
"","28","Get courses","LMS service","Sat Nov 08 17:11:33 UTC 2025","passed","Sat Nov 08 17:11:33 UTC 2025","Get entities","Courses","",""
"","43","Get exercise","LMS service","Sat Nov 08 17:11:35 UTC 2025","passed","Sat Nov 08 17:11:35 UTC 2025","Get entity","Exercises","",""
"","21","Update exercise","LMS service","Sat Nov 08 17:11:34 UTC 2025","passed","Sat Nov 08 17:11:34 UTC 2025","Update entity","Exercises","",""
"","542","Create user","LMS service","Sat Nov 08 17:11:39 UTC 2025","passed","Sat Nov 08 17:11:39 UTC 2025","Create entity","Users","",""
"","288","Create user","LMS service","Sat Nov 08 17:11:40 UTC 2025","passed","Sat Nov 08 17:11:40 UTC 2025","Create entity","Users","",""
"","557","Create user","LMS service","Sat Nov 08 17:11:40 UTC 2025","passed","Sat Nov 08 17:11:40 UTC 2025","Create entity","Users","",""
"","16","Get user me","LMS service","Sat Nov 08 17:11:41 UTC 2025","passed","Sat Nov 08 17:11:41 UTC 2025","Get entity","Users","",""
"","27","Create courses","LMS service","Sat Nov 08 17:11:33 UTC 2025","passed","Sat Nov 08 17:11:33 UTC 2025","Create entity","Courses","",""
"","23","Get exercises","LMS service","Sat Nov 08 17:11:36 UTC 2025","passed","Sat Nov 08 17:11:36 UTC 2025","Get entities","Exercises","",""
"","265","Create file with empty directory","LMS service","Sat Nov 08 17:11:38 UTC 2025","passed","Sat Nov 08 17:11:39 UTC 2025","Validate entity","Files","",""
"","23","Create file","LMS service","Sat Nov 08 17:11:36 UTC 2025","passed","Sat Nov 08 17:11:36 UTC 2025","Create entity","Files","",""
"","19","Delete exercise","LMS service","Sat Nov 08 17:11:35 UTC 2025","passed","Sat Nov 08 17:11:35 UTC 2025","Delete entity","Exercises","",""
"","22","Create exercise","LMS service","Sat Nov 08 17:11:34 UTC 2025","passed","Sat Nov 08 17:11:34 UTC 2025","Create entity","Exercises","",""
"","293","Delete file","LMS service","Sat Nov 08 17:11:39 UTC 2025","passed","Sat Nov 08 17:11:39 UTC 2025","Delete entity","Files","",""
"","552","Login with correct email and password","LMS service","Sat Nov 08 17:11:31 UTC 2025","passed","Sat Nov 08 17:11:32 UTC 2025","Login","Authentication","",""
"","30","Update courses","LMS service","Sat Nov 08 17:11:32 UTC 2025","passed","Sat Nov 08 17:11:32 UTC 2025","Update entity","Courses","",""
"","262","Create file with empty filename","LMS service","Sat Nov 08 17:11:37 UTC 2025","passed","Sat Nov 08 17:11:37 UTC 2025","Validate entity","Files","",""
